signal_i,entry_i,exit_i,side,entry_price,initial_risk,initial_stop,exit_price,exit_reason,tp_i,tp_price,partial,gross_r,net_r,tail_price_r,gross_pnl,fees,net_pnl,censored,ambiguous_bar_count,entry_open_beyond_target,same_open_be_approximation,marketable_be_approximation,signal_time,entry_time,exit_time,signal_close,month,hold_hours,rsi,gate_rsi_line,gate_sar_strong_same_bar,gate_sar_strong_window,gate_sar_direction
4603,4604,4880,-1,2565.81,76.9743,2642.7843,2560.67838,break_even,4800.0,2547.92,True,0.14954095068094145,0.08302382496495575,0.06666666666666812,11.510809999999992,5.120109189999999,6.390700809999993,False,0,False,False,False,2024-01-16T15:35:00+00:00,2024-01-16T15:40:00+00:00,2024-01-17T14:40:00+00:00,2024-01-16T15:40:00+00:00,2024-01,23.083333333333332,69.37142028739476,False,False,False,False
4619,4620,4881,-1,2575.81,77.2743,2653.0843,2570.65838,break_even,4800.0,2547.92,True,0.2137943663028974,0.14734149400253363,0.06666666666666789,16.520809999999983,5.13509919,11.385710809999983,False,0,False,False,False,2024-01-16T16:55:00+00:00,2024-01-16T17:00:00+00:00,2024-01-17T14:45:00+00:00,2024-01-16T17:00:00+00:00,2024-01,21.833333333333332,66.83426248628564,False,False,True,False
4658,4659,4882,-1,2578.7,77.36099999999999,2656.0609999999997,2573.5425999999998,break_even,4800.0,2547.92,True,0.23227078243559288,0.1658363865513618,0.06666666666666735,17.9686999999999,5.1394313,12.829268699999899,False,0,False,False,False,2024-01-16T20:10:00+00:00,2024-01-16T20:15:00+00:00,2024-01-17T14:50:00+00:00,2024-01-16T20:15:00+00:00,2024-01,18.666666666666668,70.12503087529478,True,False,False,False
4670,4671,5192,-1,2587.79,77.63369999999999,2665.4237,2494.21,opposite_signal_close,4800.0,2547.92,True,0.8594849916981918,0.7936778100232234,1.2054043540369703,66.72499999999991,5.108855,61.61614499999991,False,0,False,False,False,2024-01-16T21:10:00+00:00,2024-01-16T21:15:00+00:00,2024-01-18T16:40:00+00:00,2024-01-16T21:15:00+00:00,2024-01,43.5,65.98869964285541,False,False,True,True
4674,4675,5192,-1,2605.54,78.16619999999999,2683.7062,2494.21,opposite_signal_close,4800.0,2547.92,True,1.0807100767339326,1.0151241201439998,1.424272895445857,84.47499999999991,5.1266050000000005,79.34839499999991,False,0,False,False,False,2024-01-16T21:30:00+00:00,2024-01-16T21:35:00+00:00,2024-01-18T16:40:00+00:00,2024-01-16T21:35:00+00:00,2024-01,43.166666666666664,79.71294909671002,True,False,True,False
5192,5193,5400,1,2493.86,74.8158,2419.0442000000003,2483.52,break_even_marketable,5400.0,2483.52,True,-0.1382061008503571,-0.2047345614161734,-0.1382061008503571,-10.340000000000146,4.97738,-15.317380000000146,False,1,False,False,True,2024-01-18T16:40:00+00:00,2024-01-18T16:45:00+00:00,2024-01-19T10:00:00+00:00,2024-01-18T16:45:00+00:00,2024-01,17.333333333333332,20.18619256569852,True,False,False,False
5195,5196,5400,1,2489.4,74.682,2414.7180000000003,2483.52,break_even_marketable,5400.0,2483.52,True,-0.07873383144532965,-0.145321764280551,-0.07873383144532965,-5.880000000000109,4.97292,-10.85292000000011,False,1,False,False,True,2024-01-18T16:55:00+00:00,2024-01-18T17:00:00+00:00,2024-01-19T10:00:00+00:00,2024-01-18T17:00:00+00:00,2024-01,17.083333333333332,23.869321227577416,True,False,False,False
5199,5200,5400,1,2479.72,74.3916,2405.3284,2483.52,break_even_marketable,5400.0,2483.52,True,0.05108103603095218,-0.015636711671745438,0.05108103603095218,3.800000000000182,4.96324,-1.163239999999818,False,1,False,False,True,2024-01-18T17:15:00+00:00,2024-01-18T17:20:00+00:00,2024-01-19T10:00:00+00:00,2024-01-18T17:20:00+00:00,2024-01,16.75,27.588307102794246,True,True,True,True
5231,5232,5402,1,2439.4,73.182,2366.2180000000003,2488.62,opposite_signal_close,5400.0,2483.52,True,0.6377251236642869,0.5704207318739559,0.6725697575906616,46.669999999999845,4.925470000000001,41.74452999999984,False,0,False,False,False,2024-01-18T19:55:00+00:00,2024-01-18T20:00:00+00:00,2024-01-19T10:10:00+00:00,2024-01-18T20:00:00+00:00,2024-01,14.25,25.849420995693762,True,False,True,False
5402,5403,5481,-1,2488.62,74.65859999999999,2563.2786,2432.91,opposite_signal_close,5475.0,2449.18,True,0.6372340226042285,0.571204589960166,0.7461966873206843,47.575000000000045,4.929665,42.645335000000046,False,0,False,False,False,2024-01-19T10:10:00+00:00,2024-01-19T10:15:00+00:00,2024-01-19T16:45:00+00:00,2024-01-19T10:15:00+00:00,2024-01,6.583333333333333,78.77164149080212,True,False,False,False
5481,5482,5893,1,2432.91,72.98729999999999,2359.9227,2480.09,opposite_signal_close,5506.0,2501.58,True,0.7936312207740277,0.726170922886587,0.6464138281591496,57.92500000000018,4.923745,53.001255000000185,False,0,False,False,False,2024-01-19T16:45:00+00:00,2024-01-19T16:50:00+00:00,2024-01-21T03:05:00+00:00,2024-01-19T16:50:00+00:00,2024-01,34.333333333333336,33.722510129784524,False,False,False,False
5893,5894,6061,-1,2480.0,74.39999999999999,2554.4,2475.04,break_even,6043.0,2467.29,True,0.11875000000000051,0.052202083333333836,0.06666666666666717,8.835000000000036,4.951165,3.883835000000037,False,0,False,False,False,2024-01-21T03:05:00+00:00,2024-01-21T03:10:00+00:00,2024-01-21T17:05:00+00:00,2024-01-21T03:10:00+00:00,2024-01,14.0,73.67571872406194,True,False,False,False
6108,6109,6262,1,2467.0,74.00999999999999,2392.99,2392.99,initial_stop,,,False,-1.000000000000003,-1.0656666666666696,-1.000000000000003,-74.01000000000022,4.85999,-78.86999000000021,False,0,False,False,False,2024-01-21T21:00:00+00:00,2024-01-21T21:05:00+00:00,2024-01-22T09:50:00+00:00,2024-01-21T21:05:00+00:00,2024-01,12.833333333333334,31.160354160927795,False,False,False,False
6197,6198,6375,1,2424.7,72.74099999999999,2351.959,2351.959,initial_stop,,,False,-1.0,-1.0656666666666665,-1.0,-72.74099999999999,4.776659,-77.51765899999998,False,0,False,False,False,2024-01-22T04:25:00+00:00,2024-01-22T04:30:00+00:00,2024-01-22T19:15:00+00:00,2024-01-22T04:30:00+00:00,2024-01,14.833333333333334,34.09607815623343,False,False,False,False
6381,6382,6545,1,2318.81,69.56429999999999,2249.2457,2249.2457,initial_stop,,,False,-1.0000000000000002,-1.065666666666667,-1.0000000000000002,-69.5643,4.5680557,-74.1323557,False,0,False,False,False,2024-01-22T19:45:00+00:00,2024-01-22T19:50:00+00:00,2024-01-23T09:25:00+00:00,2024-01-22T19:50:00+00:00,2024-01,13.666666666666666,25.37545132994154,True,False,False,False
6538,6539,6545,1,2297.24,68.9172,2228.3228,2228.3228,initial_stop,,,False,-0.9999999999999981,-1.0656666666666648,-0.9999999999999981,-68.91719999999987,4.525562799999999,-73.44276279999987,False,0,False,False,False,2024-01-23T08:50:00+00:00,2024-01-23T08:55:00+00:00,2024-01-23T09:25:00+00:00,2024-01-23T08:55:00+00:00,2024-01,0.5833333333333334,25.076233828429793,True,False,True,False
6545,6546,6874,1,2232.26,66.96780000000001,2165.2922000000003,2236.72452,break_even,6849.0,2256.9500000000003,True,0.21767565904808014,0.15079131672236543,0.06666666666666655,14.577260000000024,4.47909726,10.098162740000024,False,0,False,False,False,2024-01-23T09:25:00+00:00,2024-01-23T09:30:00+00:00,2024-01-24T12:50:00+00:00,2024-01-23T09:30:00+00:00,2024-01,27.416666666666668,12.358862972798633,True,False,True,False
6572,6573,6889,1,2216.23,66.48689999999999,2149.7431,2220.66246,break_even,6849.0,2256.9500000000003,True,0.3395590710350479,0.27255284529734614,0.06666666666666655,22.576230000000123,4.45503623,18.121193770000122,False,0,False,False,False,2024-01-23T11:40:00+00:00,2024-01-23T11:45:00+00:00,2024-01-24T14:05:00+00:00,2024-01-23T11:45:00+00:00,2024-01,26.416666666666668,29.39197829689421,True,False,False,False
6602,6603,7193,1,2183.53,65.5059,2118.0241,2187.8970600000002,break_even,6849.0,2256.9500000000003,True,0.5937408691430857,0.526480461607276,0.06666666666666725,38.893530000000055,4.405953530000001,34.48757647000006,False,0,False,False,False,2024-01-23T14:10:00+00:00,2024-01-23T14:15:00+00:00,2024-01-25T15:25:00+00:00,2024-01-23T14:15:00+00:00,2024-01,49.25,29.113481135407568,True,False,False,False
6970,6971,7158,1,2203.01,66.0903,2136.9197000000004,2207.41602,break_even,7137.0,2236.35,True,0.28556399350585177,0.21861176284567924,0.06666666666666514,18.873009999999795,4.42489301,14.448116989999795,False,0,False,False,False,2024-01-24T20:50:00+00:00,2024-01-24T20:55:00+00:00,2024-01-25T12:30:00+00:00,2024-01-24T20:55:00+00:00,2024-01,15.666666666666666,37.42985970351024,False,False,False,False
7427,7428,7691,-1,2237.6,67.128,2304.728,2252.41,break_even_marketable,7691.0,2252.41,True,-0.22062328685496282,-0.28751057680848446,-0.22062328685496282,-14.809999999999945,4.49001,-19.300009999999943,False,1,False,False,True,2024-01-26T10:55:00+00:00,2024-01-26T11:00:00+00:00,2024-01-27T08:55:00+00:00,2024-01-26T11:00:00+00:00,2024-01,22.0,69.26902316096105,False,False,False,False
7435,7436,7692,-1,2258.58,67.75739999999999,2326.3374,2254.06284,break_even,7691.0,2252.41,True,0.07886341565644454,0.012275612405434313,0.06666666666666485,5.3435799999999745,4.51181642,0.8317635799999747,False,1,False,False,False,2024-01-26T11:35:00+00:00,2024-01-26T11:40:00+00:00,2024-01-27T09:00:00+00:00,2024-01-26T11:40:00+00:00,2024-01,21.416666666666668,77.99232059241285,True,False,False,False
7889,7890,8352,-1,2286.89,68.60669999999999,2355.4966999999997,2282.3162199999997,break_even,8061.0,2263.39,True,0.20459940501438034,0.13813733775272805,0.06666666666666915,14.036890000000085,4.55974311,9.477146890000085,False,0,False,False,False,2024-01-28T01:25:00+00:00,2024-01-28T01:30:00+00:00,2024-01-29T16:00:00+00:00,2024-01-28T01:30:00+00:00,2024-01,38.583333333333336,81.87509182494043,True,False,False,False
7931,7932,8362,-1,2303.68,69.1104,2372.7904,2299.07264,break_even,8061.0,2263.39,True,0.32482347085243274,0.25848162765661853,0.06666666666666625,22.448679999999968,4.58491132,17.863768679999968,False,0,False,False,False,2024-01-28T04:55:00+00:00,2024-01-28T05:00:00+00:00,2024-01-29T16:50:00+00:00,2024-01-28T05:00:00+00:00,2024-01,35.916666666666664,80.29797052795878,True,False,False,False
8362,8363,8601,-1,2294.42,68.8326,2363.2526000000003,2299.25,break_even_marketable,8601.0,2299.25,True,-0.07017023910181988,-0.13690707600758836,-0.07017023910181988,-4.829999999999927,4.59367,-9.423669999999927,False,1,False,False,True,2024-01-29T16:50:00+00:00,2024-01-29T16:55:00+00:00,2024-01-30T12:45:00+00:00,2024-01-29T16:55:00+00:00,2024-01,19.916666666666668,77.48677654209136,True,False,False,False
8638,8639,8868,-1,2336.31,70.0893,2406.3993,2288.17,opposite_signal_close,8855.0,2314.37,True,0.49993365606447726,0.4337669230538751,0.6868380765680336,35.039999999999964,4.63758,30.402419999999964,False,0,False,False,False,2024-01-30T15:50:00+00:00,2024-01-30T15:55:00+00:00,2024-01-31T11:00:00+00:00,2024-01-30T15:55:00+00:00,2024-01,19.166666666666668,70.07224301385108,True,False,False,False
8647,8648,8868,-1,2354.44,70.6332,2425.0732000000003,2288.17,opposite_signal_close,8855.0,2314.37,True,0.7527621571725488,0.6868482526630546,0.938227349178573,53.17000000000007,4.655710000000001,48.514290000000074,False,0,False,False,False,2024-01-30T16:35:00+00:00,2024-01-30T16:40:00+00:00,2024-01-31T11:00:00+00:00,2024-01-30T16:40:00+00:00,2024-01,18.416666666666668,67.05529786376633,False,False,True,True
8654,8655,8868,-1,2375.59,71.2677,2446.8577,2288.17,opposite_signal_close,8855.0,2314.37,True,1.0428286587051379,0.9772048206971763,1.2266426445640881,74.32000000000016,4.67686,69.64314000000016,False,0,False,False,False,2024-01-30T17:10:00+00:00,2024-01-30T17:15:00+00:00,2024-01-31T11:00:00+00:00,2024-01-30T17:15:00+00:00,2024-01,17.833333333333332,76.39887916240605,True,False,True,False
8868,8869,9199,1,2288.16,68.64479999999999,2219.5152,2289.16,break_even_marketable,9199.0,2289.16,True,0.014567745845278887,-0.05211348856723307,0.014567745845278887,1.0,4.57732,-3.5773200000000003,False,1,False,False,True,2024-01-31T11:00:00+00:00,2024-01-31T11:05:00+00:00,2024-02-01T14:35:00+00:00,2024-01-31T11:05:00+00:00,2024-01,27.583333333333332,24.092619451985968,True,True,True,True
9405,9406,9480,-1,2318.43,69.5529,2387.9829,2285.82,opposite_signal_close,9477.0,2294.13,True,0.40911306358181615,0.3428555099787314,0.46885176606582435,28.4549999999997,4.608404999999999,23.846594999999702,False,0,False,False,False,2024-02-02T07:45:00+00:00,2024-02-02T07:50:00+00:00,2024-02-02T14:00:00+00:00,2024-02-02T07:50:00+00:00,2024-02,6.25,69.47581851499062,False,False,True,False
9480,9481,9527,1,2285.81,68.5743,2217.2357,2290.38162,break_even,9505.0,2322.03,True,0.2974264411011153,0.23046234799334755,0.0666666666666691,20.39581000000021,4.59201581,15.803794190000211,False,0,False,False,False,2024-02-02T14:00:00+00:00,2024-02-02T14:05:00+00:00,2024-02-02T17:55:00+00:00,2024-02-02T14:05:00+00:00,2024-02,3.9166666666666665,21.181956603423444,True,False,False,False
9616,9617,10282,-1,2328.81,69.8643,2398.6743,2324.15238,break_even,9780.0,2300.15,True,0.2384452431356201,0.17201702171208905,0.06666666666666597,16.658809999999903,4.6409611900000005,12.017848809999903,False,0,False,False,False,2024-02-03T01:20:00+00:00,2024-02-03T01:25:00+00:00,2024-02-05T08:50:00+00:00,2024-02-03T01:25:00+00:00,2024-02,55.5,77.02840276178064,True,False,True,False
10706,10707,10929,-1,2388.72,71.66159999999999,2460.3815999999997,2383.94256,break_even,10883.0,2354.36,True,0.2730712124764136,0.20667761702222331,0.06666666666666447,19.568719999999757,4.75787128,14.810848719999758,False,0,False,False,False,2024-02-06T20:10:00+00:00,2024-02-06T20:15:00+00:00,2024-02-07T14:45:00+00:00,2024-02-06T20:15:00+00:00,2024-02,18.583333333333332,83.35282746699514,True,False,False,False
10958,10959,11178,-1,2415.48,72.4644,2487.9444,2416.64,break_even_marketable,11178.0,2416.64,True,-0.016007860411455205,-0.08269053493853333,-0.016007860411455205,-1.1599999999998545,4.83212,-5.992119999999854,False,1,False,False,True,2024-02-07T17:10:00+00:00,2024-02-07T17:15:00+00:00,2024-02-08T11:30:00+00:00,2024-02-07T17:15:00+00:00,2024-02,18.333333333333332,79.0030329384072,True,False,False,False
10981,10982,11178,-1,2421.43,72.6429,2494.0728999999997,2416.64,break_even_marketable,11178.0,2416.64,True,0.06593899747945035,-0.00066173018973687,0.06593899747945035,4.789999999999964,4.83807,-0.04807000000003647,False,1,False,False,True,2024-02-07T19:05:00+00:00,2024-02-07T19:10:00+00:00,2024-02-08T11:30:00+00:00,2024-02-07T19:10:00+00:00,2024-02,16.416666666666668,66.7769891948958,False,False,True,False
11366,11367,11745,-1,2463.88,73.9164,2537.7964,2481.68,break_even_marketable,11745.0,2481.68,True,-0.2408125936869183,-0.3077200729472719,-0.2408125936869183,-17.799999999999727,4.94556,-22.745559999999728,False,1,False,False,True,2024-02-09T03:10:00+00:00,2024-02-09T03:15:00+00:00,2024-02-10T10:45:00+00:00,2024-02-09T03:15:00+00:00,2024-02,31.583333333333332,89.41609555429984,True,False,False,False
11431,11432,11745,-1,2466.65,73.9995,2540.6495,2481.68,break_even_marketable,11745.0,2481.68,True,-0.2031094804694592,-0.26997925661659533,-0.2031094804694592,-15.029999999999745,4.94833,-19.978329999999744,False,1,False,False,True,2024-02-09T08:35:00+00:00,2024-02-09T08:40:00+00:00,2024-02-10T10:45:00+00:00,2024-02-09T08:40:00+00:00,2024-02,26.166666666666668,69.3526461914552,False,False,True,False
11471,11472,11863,-1,2502.94,75.0882,2578.0282,2497.93412,break_even,11745.0,2481.68,True,0.17490018405022612,0.1084084175676097,0.06666666666666882,13.13294000000019,4.99274706,8.14019294000019,False,0,False,False,False,2024-02-09T11:55:00+00:00,2024-02-09T12:00:00+00:00,2024-02-10T20:35:00+00:00,2024-02-09T12:00:00+00:00,2024-02,32.666666666666664,80.26475257234671,True,False,False,False
11869,11870,12129,-1,2512.43,75.37289999999999,2587.8028999999997,2507.40514,break_even,12126.0,2502.91,True,0.0964860049168864,0.02991582425513661,0.06666666666666654,7.272429999999986,5.01758757,2.254842429999986,False,0,False,False,False,2024-02-10T21:05:00+00:00,2024-02-10T21:10:00+00:00,2024-02-11T18:45:00+00:00,2024-02-10T21:10:00+00:00,2024-02,21.666666666666668,72.56895752907009,True,False,True,False
11953,11954,12371,-1,2531.86,75.9558,2607.8158000000003,2526.79628,break_even,12126.0,2502.91,True,0.2239046919392619,0.15746192996453448,0.06666666666666803,17.006860000000188,5.04671314,11.960146860000188,False,0,False,False,False,2024-02-11T04:05:00+00:00,2024-02-11T04:10:00+00:00,2024-02-12T14:55:00+00:00,2024-02-11T04:10:00+00:00,2024-02,34.833333333333336,74.8136623400732,True,False,False,False
12372,12373,12402,-1,2529.0,75.86999999999999,2604.87,2604.87,initial_stop,,,False,-0.9999999999999987,-1.0676666666666654,-0.9999999999999987,-75.86999999999989,5.13387,-81.00386999999989,False,0,False,False,False,2024-02-12T15:00:00+00:00,2024-02-12T15:05:00+00:00,2024-02-12T17:30:00+00:00,2024-02-12T15:05:00+00:00,2024-02,2.5,89.60261826031164,True,False,False,False
12383,12384,12413,-1,2558.84,76.76520000000001,2635.6052,2635.6052,initial_stop,,,False,-0.9999999999999976,-1.0676666666666643,-0.9999999999999976,-76.76519999999982,5.1944452000000005,-81.95964519999983,False,0,False,False,False,2024-02-12T15:55:00+00:00,2024-02-12T16:00:00+00:00,2024-02-12T18:25:00+00:00,2024-02-12T16:00:00+00:00,2024-02,2.5,81.66423964015455,True,False,True,True
12398,12399,12423,-1,2562.7,76.88099999999999,2639.5809999999997,2639.5809999999997,initial_stop,,,False,-0.9999999999999983,-1.067666666666665,-0.9999999999999983,-76.88099999999986,5.202280999999999,-82.08328099999986,False,0,False,False,False,2024-02-12T17:10:00+00:00,2024-02-12T17:15:00+00:00,2024-02-12T19:15:00+00:00,2024-02-12T17:15:00+00:00,2024-02,2.0833333333333335,70.16498795731006,True,False,False,False
12403,12404,12481,-1,2603.97,78.11909999999999,2682.0890999999997,2682.0890999999997,initial_stop,,,False,-0.9999999999999988,-1.0676666666666654,-0.9999999999999988,-78.11909999999989,5.286059099999999,-83.40515909999989,False,0,False,False,False,2024-02-12T17:35:00+00:00,2024-02-12T17:40:00+00:00,2024-02-13T00:05:00+00:00,2024-02-12T17:40:00+00:00,2024-02,6.5,78.55475749118901,True,False,False,False
12682,12683,12877,1,2616.7,78.50099999999999,2538.1989999999996,2718.72,opposite_signal_close,12848.0,2648.59,True,0.8529190710946378,0.7853994853568765,1.2996012789645992,66.95500000000015,5.300355,61.65464500000016,False,0,False,False,False,2024-02-13T16:50:00+00:00,2024-02-13T16:55:00+00:00,2024-02-14T09:05:00+00:00,2024-02-13T16:55:00+00:00,2024-02,16.25,40.39364642105855,False,False,False,False
12877,12878,13060,-1,2718.55,81.5565,2800.1065000000003,2800.1065000000003,initial_stop,,,False,-1.0000000000000018,-1.0676666666666685,-1.0000000000000018,-81.55650000000014,5.5186565000000005,-87.07515650000015,False,0,False,False,False,2024-02-14T09:05:00+00:00,2024-02-14T09:10:00+00:00,2024-02-15T00:20:00+00:00,2024-02-14T09:10:00+00:00,2024-02,15.25,82.69446837931251,True,False,True,False
13064,13065,13456,-1,2818.61,84.5583,2903.1683000000003,2812.97278,break_even,13453.0,2806.46,True,0.1051772564017971,0.03861576699153224,0.0666666666666675,8.89361000000008,5.62832639,3.265283610000081,False,1,False,False,False,2024-02-15T00:40:00+00:00,2024-02-15T00:45:00+00:00,2024-02-16T09:20:00+00:00,2024-02-15T00:45:00+00:00,2024-02,32.666666666666664,74.55029899718613,True,False,False,False
13231,13232,13476,-1,2838.42,85.15259999999999,2923.5726,2832.74316,break_even,13453.0,2806.46,True,0.22099642289254892,0.1545507526487748,0.06666666666666765,18.81842000000006,5.65802158,13.16039842000006,False,0,False,False,False,2024-02-15T14:35:00+00:00,2024-02-15T14:40:00+00:00,2024-02-16T11:00:00+00:00,2024-02-15T14:40:00+00:00,2024-02,20.416666666666668,70.64258125182354,True,False,False,False
