sample_id,symbol,class_status,box_status,split,window_start_time,decision_time,original_source_path,matching_current_sources,current_window_ohlcv_agreement,recovered_image_path,image_exact_sha,recovered_source_path,numeric_timestamp_link,full_historical_ohlc_parity,core_start_time,core_end_time,post_core_visible_bars,original_window_start_bar,original_window_end_bar,recovered_window_start_bar,recovered_window_end_bar
ownerno_hardneg200_v1_T074,APE_USDT_SWAP,rejected,none,train,2025-11-15 08:00:00+00:00,2025-11-15 10:45:00+00:00,data/kline_fetched/okx_APE_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ownerno_hardneg200_v1_T074.png,True,data/kline_deep/okx_APE_USDT_SWAP_15m_151496.csv,True,unverified_no_original_source_sha,,,,15909,15920,128524,128535
neg_okx_API3_USDT_SWAP_005960__b0,API3_USDT_SWAP,rejected,none,train,2025-07-12 13:30:00+00:00,2025-07-12 17:15:00+00:00,data/kline_fetched/okx_API3_USDT_SWAP_15m_41084.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_API3_USDT_SWAP_005960__b0.png,True,data/kline_fetched/okx_API3_USDT_SWAP_15m_41916.csv,True,unverified_no_original_source_sha,,,,3743,3758,3743,3758
APR_USDT_SWAP_002730__b0,APR_USDT_SWAP,confirmed,rule_verified,train,2025-11-20 21:45:00+00:00,2025-11-21 00:45:00+00:00,data/kline_fetched/okx_APR_USDT_SWAP_15m_27387.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/APR_USDT_SWAP_002730__b0.png,True,data/kline_fetched/okx_APR_USDT_SWAP_15m_28219.csv,True,unverified_no_original_source_sha,2025-11-20 23:00:00+00:00,2025-11-21 00:00:00+00:00,3.0,2655,2667,2655,2667
neg_APT_USDT_SWAP_004930__b1,APT_USDT_SWAP,rejected,none,train,2026-03-11 06:00:00+00:00,2026-03-11 09:15:00+00:00,data/kline_fetched/okx_APT_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_APT_USDT_SWAP_004930__b1.png,True,data/kline_deep/okx_APT_USDT_SWAP_15m_130807.csv,True,unverified_no_original_source_sha,,,,27037,27050,118963,118976
neg_okx_ARB_USDT_SWAP_010560__b0,ARB_USDT_SWAP,rejected,none,train,2025-09-26 18:15:00+00:00,2025-09-26 22:00:00+00:00,data/kline_fetched/okx_ARB_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_ARB_USDT_SWAP_010560__b0.png,True,data/kline_deep/okx_ARB_USDT_SWAP_15m_115876.csv,True,unverified_no_original_source_sha,,,,11150,11165,88145,88160
ownerno_newblocks200_v3_M174,ARB_USDT_SWAP,rejected,none,train,2025-08-15 05:45:00+00:00,2025-08-15 10:15:00+00:00,data/kline_fetched/okx_ARB_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ownerno_newblocks200_v3_M174.png,True,data/kline_deep/okx_ARB_USDT_SWAP_15m_115876.csv,True,unverified_no_original_source_sha,,,,7068,7086,84063,84081
ARKM_USDT_SWAP_004130__b0,ARKM_USDT_SWAP,confirmed,rule_verified,train,2025-07-14 11:45:00+00:00,2025-07-14 14:30:00+00:00,data/kline_fetched/okx_ARKM_USDT_SWAP_15m_41084.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ARKM_USDT_SWAP_004130__b0.png,True,data/kline_fetched/okx_ARKM_USDT_SWAP_15m_41916.csv,True,unverified_no_original_source_sha,2025-07-14 13:00:00+00:00,2025-07-14 13:45:00+00:00,3.0,3928,3939,3928,3939
neg_AUCTION_USDT_SWAP_008930__b0,AUCTION_USDT_SWAP,rejected,none,train,2025-12-31 23:45:00+00:00,2026-01-01 02:45:00+00:00,data/kline_fetched/okx_AUCTION_USDT_SWAP_15m_41084.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_AUCTION_USDT_SWAP_008930__b0.png,True,data/kline_fetched/okx_AUCTION_USDT_SWAP_15m_41915.csv,True,unverified_no_original_source_sha,,,,20295,20307,20295,20307
AUCTION_USDT_SWAP_012530__b0,AUCTION_USDT_SWAP,confirmed,rule_verified,train,2025-10-10 13:30:00+00:00,2025-10-10 16:30:00+00:00,data/kline_fetched/okx_AUCTION_USDT_SWAP_15m_41084.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/AUCTION_USDT_SWAP_012530__b0.png,True,data/kline_fetched/okx_AUCTION_USDT_SWAP_15m_41915.csv,True,unverified_no_original_source_sha,2025-10-10 14:45:00+00:00,2025-10-10 15:45:00+00:00,3.0,12382,12394,12382,12394
okx_AUCTION_USDT_SWAP_012260__b0,AUCTION_USDT_SWAP,confirmed,rule_verified,train,2025-10-10 14:00:00+00:00,2025-10-10 17:00:00+00:00,data/kline_fetched/okx_AUCTION_USDT_SWAP_15m_41084.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_AUCTION_USDT_SWAP_012260__b0.png,True,data/kline_fetched/okx_AUCTION_USDT_SWAP_15m_41915.csv,True,unverified_no_original_source_sha,2025-10-10 15:15:00+00:00,2025-10-10 16:15:00+00:00,3.0,12384,12396,12384,12396
neg_A_USDT_SWAP_007330__b0,A_USDT_SWAP,rejected,none,train,2025-11-05 02:00:00+00:00,2025-11-05 05:15:00+00:00,data/kline_fetched/okx_A_USDT_SWAP_15m_41087.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_A_USDT_SWAP_007330__b0.png,True,data/kline_fetched/okx_A_USDT_SWAP_15m_41918.csv,True,unverified_no_original_source_sha,,,,14835,14848,14835,14848
A_USDT_SWAP_008930__b0,A_USDT_SWAP,confirmed,rule_verified,train,2025-09-04 00:45:00+00:00,2025-09-04 04:45:00+00:00,data/kline_fetched/okx_A_USDT_SWAP_15m_41087.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/A_USDT_SWAP_008930__b0.png,True,data/kline_fetched/okx_A_USDT_SWAP_15m_41918.csv,True,unverified_no_original_source_sha,2025-09-04 02:15:00+00:00,2025-09-04 03:45:00+00:00,4.0,8878,8894,8878,8894
A_USDT_SWAP_012930__b0,A_USDT_SWAP,rejected,none,train,2025-10-15 08:30:00+00:00,2025-10-15 11:45:00+00:00,data/kline_fetched/okx_A_USDT_SWAP_15m_41087.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/A_USDT_SWAP_012930__b0.png,True,data/kline_fetched/okx_A_USDT_SWAP_15m_41918.csv,True,unverified_no_original_source_sha,,,,12845,12858,12845,12858
neg_okx_BAND_USDT_SWAP_023160__b0,BAND_USDT_SWAP,rejected,none,train,2025-10-13 16:30:00+00:00,2025-10-13 20:00:00+00:00,data/kline_fetched/okx_BAND_USDT_SWAP_15m_41083.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_BAND_USDT_SWAP_023160__b0.png,True,data/kline_fetched/okx_BAND_USDT_SWAP_15m_41914.csv,True,unverified_no_original_source_sha,,,,12681,12695,12681,12695
ownerno_early300_v1_S133,BARD_USDT_SWAP,rejected,none,train,2026-02-15 07:15:00+00:00,2026-02-15 11:45:00+00:00,data/kline_fetched/okx_BARD_USDT_SWAP_15m_30820.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ownerno_early300_v1_S133.png,True,data/kline_fetched/okx_BARD_USDT_SWAP_15m_31651.csv,True,unverified_no_original_source_sha,,,,14381,14399,14381,14399
okx_BLUR_USDT_SWAP_020760__b0,BLUR_USDT_SWAP,confirmed,rule_verified,train,2026-01-07 11:30:00+00:00,2026-01-07 14:30:00+00:00,data/kline_fetched/okx_BLUR_USDT_SWAP_15m_41082.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_BLUR_USDT_SWAP_020760__b0.png,True,data/kline_fetched/okx_BLUR_USDT_SWAP_15m_41913.csv,True,unverified_no_original_source_sha,2026-01-07 12:45:00+00:00,2026-01-07 13:45:00+00:00,3.0,20916,20928,20916,20928
neg_BLUR_USDT_SWAP_004130__b0,BLUR_USDT_SWAP,rejected,none,train,2025-08-31 06:30:00+00:00,2025-08-31 09:15:00+00:00,data/kline_fetched/okx_BLUR_USDT_SWAP_15m_41082.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_BLUR_USDT_SWAP_004130__b0.png,True,data/kline_fetched/okx_BLUR_USDT_SWAP_15m_41913.csv,True,unverified_no_original_source_sha,,,,8512,8523,8512,8523
BONK_USDT_SWAP_028494__b0,BONK_USDT_SWAP,confirmed,rule_verified,val,2026-03-25 22:45:00+00:00,2026-03-26 03:15:00+00:00,data/kline_fetched/okx_BONK_USDT_SWAP_15m_41082.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/val/BONK_USDT_SWAP_028494__b0.png,True,data/kline_fetched/okx_BONK_USDT_SWAP_15m_41913.csv,True,unverified_no_original_source_sha,2026-03-26 00:30:00+00:00,2026-03-26 02:00:00+00:00,5.0,28353,28371,28353,28371
ownerno_expansion200_v2_N188,BRETT_USDT_SWAP,rejected,none,train,2025-09-15 04:30:00+00:00,2025-09-15 07:30:00+00:00,data/kline_fetched/okx_BRETT_USDT_SWAP_15m_41082.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ownerno_expansion200_v2_N188.png,True,data/kline_fetched/okx_BRETT_USDT_SWAP_15m_41913.csv,True,unverified_no_original_source_sha,,,,9944,9956,9944,9956
neg_okx_BRETT_USDT_SWAP_017160__b0,BRETT_USDT_SWAP,rejected,none,train,2025-09-05 08:30:00+00:00,2025-09-05 11:15:00+00:00,data/kline_fetched/okx_BRETT_USDT_SWAP_15m_41082.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_BRETT_USDT_SWAP_017160__b0.png,True,data/kline_fetched/okx_BRETT_USDT_SWAP_15m_41913.csv,True,unverified_no_original_source_sha,,,,9000,9011,9000,9011
BRETT_USDT_SWAP_014330__b0,BRETT_USDT_SWAP,rejected,none,train,2025-10-30 06:15:00+00:00,2025-10-30 09:15:00+00:00,data/kline_fetched/okx_BRETT_USDT_SWAP_15m_41082.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/BRETT_USDT_SWAP_014330__b0.png,True,data/kline_fetched/okx_BRETT_USDT_SWAP_15m_41913.csv,True,unverified_no_original_source_sha,,,,14271,14283,14271,14283
neg_CELO_USDT_SWAP_009130__b0,CELO_USDT_SWAP,rejected,none,train,2025-12-26 03:15:00+00:00,2025-12-26 06:30:00+00:00,data/kline_fetched/okx_CELO_USDT_SWAP_15m_41081.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_CELO_USDT_SWAP_009130__b0.png,True,data/kline_fetched/okx_CELO_USDT_SWAP_15m_41912.csv,True,unverified_no_original_source_sha,,,,19730,19743,19730,19743
CFX_USDT_SWAP_014730__b0,CFX_USDT_SWAP,confirmed,rule_verified,train,2025-11-02 11:45:00+00:00,2025-11-02 14:30:00+00:00,data/kline_fetched/okx_CFX_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/CFX_USDT_SWAP_014730__b0.png,True,data/kline_deep/okx_CFX_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,2025-11-02 13:00:00+00:00,2025-11-02 13:45:00+00:00,3.0,14675,14686,134291,134302
neg_CHZ_USDT_SWAP_016530__b0,CHZ_USDT_SWAP,rejected,none,train,2025-08-17 22:15:00+00:00,2025-08-18 01:00:00+00:00,data/kline_fetched/okx_CHZ_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_CHZ_USDT_SWAP_016530__b0.png,True,data/kline_deep/okx_CHZ_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,,,,7325,7336,126941,126952
CHZ_USDT_SWAP_004130__b0,CHZ_USDT_SWAP,confirmed,rule_verified,train,2025-07-14 13:15:00+00:00,2025-07-14 16:30:00+00:00,data/kline_fetched/okx_CHZ_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/CHZ_USDT_SWAP_004130__b0.png,True,data/kline_deep/okx_CHZ_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,2025-07-14 14:30:00+00:00,2025-07-14 15:45:00+00:00,3.0,4025,4038,123641,123654
neg_CHZ_USDT_SWAP_008530__b0,CHZ_USDT_SWAP,rejected,none,train,2025-06-20 12:45:00+00:00,2025-06-20 15:45:00+00:00,data/kline_fetched/okx_CHZ_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_CHZ_USDT_SWAP_008530__b0.png,True,data/kline_deep/okx_CHZ_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,,,,1719,1731,121335,121347
neg_CHZ_USDT_SWAP_004930__b1,CHZ_USDT_SWAP,rejected,none,train,2025-08-10 12:45:00+00:00,2025-08-10 16:00:00+00:00,data/kline_fetched/okx_CHZ_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_CHZ_USDT_SWAP_004930__b1.png,True,data/kline_deep/okx_CHZ_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,,,,6615,6628,126231,126244
neg_okx_COIN_USDT_SWAP_004860__b0,COIN_USDT_SWAP,rejected,none,val,2026-03-20 12:45:00+00:00,2026-03-20 15:45:00+00:00,data/kline_fetched/okx_COIN_USDT_SWAP_15m_15381.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/val/neg_okx_COIN_USDT_SWAP_004860__b0.png,True,data/kline_fetched/okx_COIN_USDT_SWAP_15m_16212.csv,True,unverified_no_original_source_sha,,,,2132,2144,2132,2144
neg_okx_CORE_USDT_SWAP_016060__b0,CORE_USDT_SWAP,rejected,none,train,2025-09-11 03:45:00+00:00,2025-09-11 06:45:00+00:00,data/kline_fetched/okx_CORE_USDT_SWAP_15m_41081.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_CORE_USDT_SWAP_016060__b0.png,True,data/kline_fetched/okx_CORE_USDT_SWAP_15m_41912.csv,True,unverified_no_original_source_sha,,,,9556,9568,9556,9568
okx_CRV_USDT_SWAP_027560__b0,CRV_USDT_SWAP,confirmed,rule_verified,val,2026-03-18 09:00:00+00:00,2026-03-18 11:45:00+00:00,data/kline_fetched/okx_CRV_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/val/okx_CRV_USDT_SWAP_027560__b0.png,True,data/kline_deep/okx_CRV_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,2026-03-18 10:15:00+00:00,2026-03-18 11:00:00+00:00,3.0,27720,27731,147336,147347
neg_okx_DOGE_USDT_SWAP_019560__b0,DOGE_USDT_SWAP,rejected,none,train,2025-12-14 03:00:00+00:00,2025-12-14 06:00:00+00:00,data/kline_fetched/okx_DOGE_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_DOGE_USDT_SWAP_019560__b0.png,True,data/kline_deep/okx_DOGE_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,,,,18672,18684,138288,138300
DOGE_USDT_SWAP_015930__b0,DOGE_USDT_SWAP,confirmed,rule_verified,train,2025-11-13 14:15:00+00:00,2025-11-13 17:15:00+00:00,data/kline_fetched/okx_DOGE_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/DOGE_USDT_SWAP_015930__b0.png,True,data/kline_deep/okx_DOGE_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,2025-11-13 15:30:00+00:00,2025-11-13 16:30:00+00:00,3.0,15741,15753,135357,135369
okx_DOOD_USDT_SWAP_002060__b0,DOOD_USDT_SWAP,rejected,none,train,2025-06-25 12:45:00+00:00,2025-06-25 15:45:00+00:00,data/kline_fetched/okx_DOOD_USDT_SWAP_15m_41080.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_DOOD_USDT_SWAP_002060__b0.png,True,data/kline_fetched/okx_DOOD_USDT_SWAP_15m_41911.csv,True,unverified_no_original_source_sha,,,,2103,2115,2103,2115
neg_DOT_USDT_SWAP_013130__b0,DOT_USDT_SWAP,rejected,none,train,2025-07-11 17:15:00+00:00,2025-07-11 21:15:00+00:00,data/kline_fetched/okx_DOT_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_DOT_USDT_SWAP_013130__b0.png,True,data/kline_deep/okx_DOT_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,,,,3753,3769,123369,123385
okx_DOT_USDT_SWAP_017260__b0,DOT_USDT_SWAP,confirmed,rule_verified,train,2025-11-30 20:00:00+00:00,2025-11-30 23:45:00+00:00,data/kline_fetched/okx_DOT_USDT_SWAP_15m_41176.csv,2,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_DOT_USDT_SWAP_017260__b0.png,True,data/kline_deep/okx_DOT_USDT_SWAP_15m_158499.csv,True,unverified_no_original_source_sha,2025-11-30 21:15:00+00:00,2025-11-30 22:45:00+00:00,4.0,17396,17411,137012,137027
okx_DYDX_USDT_SWAP_018560__b1,DYDX_USDT_SWAP,rejected,none,train,2025-12-14 01:45:00+00:00,2025-12-14 05:30:00+00:00,data/kline_fetched/okx_DYDX_USDT_SWAP_15m_41080.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_DYDX_USDT_SWAP_018560__b1.png,True,data/kline_fetched/okx_DYDX_USDT_SWAP_15m_41911.csv,True,unverified_no_original_source_sha,,,,18571,18586,18571,18586
ownerno_newblocks200_v3_M024,DYDX_USDT_SWAP,rejected,none,train,2025-10-15 04:15:00+00:00,2025-10-15 07:00:00+00:00,data/kline_fetched/okx_DYDX_USDT_SWAP_15m_41080.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/ownerno_newblocks200_v3_M024.png,True,data/kline_fetched/okx_DYDX_USDT_SWAP_15m_41911.csv,True,unverified_no_original_source_sha,,,,12821,12832,12821,12832
neg_EDEN_USDT_SWAP_011282__b1,EDEN_USDT_SWAP,rejected,none,train,2025-12-13 19:30:00+00:00,2025-12-13 23:00:00+00:00,data/kline_fetched/okx_EDEN_USDT_SWAP_15m_29670.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_EDEN_USDT_SWAP_011282__b1.png,True,data/kline_fetched/okx_EDEN_USDT_SWAP_15m_30501.csv,True,unverified_no_original_source_sha,,,,7136,7150,7136,7150
okx_EGLD_USDT_SWAP_002760__b0,EGLD_USDT_SWAP,confirmed,rule_verified,train,2025-07-04 02:00:00+00:00,2025-07-04 05:15:00+00:00,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41079.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_EGLD_USDT_SWAP_002760__b0.png,True,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41910.csv,True,unverified_no_original_source_sha,2025-07-04 03:15:00+00:00,2025-07-04 04:30:00+00:00,3.0,2923,2936,2923,2936
EGLD_USDT_SWAP_008730__b0,EGLD_USDT_SWAP,confirmed,rule_verified,train,2025-08-31 19:15:00+00:00,2025-08-31 23:00:00+00:00,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41079.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/EGLD_USDT_SWAP_008730__b0.png,True,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41910.csv,True,unverified_no_original_source_sha,2025-08-31 20:30:00+00:00,2025-08-31 22:00:00+00:00,4.0,8560,8575,8560,8575
neg_okx_EGLD_USDT_SWAP_002760__b0,EGLD_USDT_SWAP,rejected,none,train,2025-07-06 19:00:00+00:00,2025-07-06 22:15:00+00:00,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41079.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/neg_okx_EGLD_USDT_SWAP_002760__b0.png,True,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41910.csv,True,unverified_no_original_source_sha,,,,3183,3196,3183,3196
okx_EGLD_USDT_SWAP_026860__b0,EGLD_USDT_SWAP,confirmed,rule_verified,train,2026-03-10 15:45:00+00:00,2026-03-10 18:45:00+00:00,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41079.csv,1,True,archive/consolidated/yoyo-trading/datasets/dataset_v3_2_reviewed_core_v1/images/train/okx_EGLD_USDT_SWAP_026860__b0.png,True,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41910.csv,True,unverified_no_original_source_sha,2026-03-10 17:00:00+00:00,2026-03-10 18:00:00+00:00,3.0,26882,26894,26882,26894
