sample_id,target,event_id,positive_event_id,source_group,source_task_id,calibration_task_id,sample_kind,tip_offset,reason,label_provenance,anchor_time,input_start_time,input_end_time,image_rel,image_sha256
eth3m_20260319T120900Z_review_tip_offset_-1_t042_c03,,,p003,calibration_p003_t042,42,3,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-19T12:09:00+00:00,2026-03-19T02:12:00+00:00,2026-03-19T12:09:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260319T120900Z_review_tip_offset_-1_t042_c03.png,978bcaeec93beba69a57c792badc49f79a0602206c60a560f3ffed3626931906
eth3m_20260319T121500Z_review_tip_offset_+1_t042_c03,,,p003,calibration_p003_t042,42,3,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-19T12:15:00+00:00,2026-03-19T02:18:00+00:00,2026-03-19T12:15:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260319T121500Z_review_tip_offset_+1_t042_c03.png,86c3125603be2fd68c4d7fd3e488adb9736912e04cca6cc3f1ab8f3fe1c314f7
eth3m_20260319T121800Z_review_tip_offset_+2_t042_c03,,,p003,calibration_p003_t042,42,3,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-19T12:18:00+00:00,2026-03-19T02:21:00+00:00,2026-03-19T12:18:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260319T121800Z_review_tip_offset_+2_t042_c03.png,43a434b62dbd3f3225128d36cba617e7e8793f087fa60fed75ab030cc8a87cee
eth3m_20260319T122100Z_review_tip_offset_+3_t042_c03,,,p003,calibration_p003_t042,42,3,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-19T12:21:00+00:00,2026-03-19T02:24:00+00:00,2026-03-19T12:21:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260319T122100Z_review_tip_offset_+3_t042_c03.png,57ee1dbb14268e23a172eb4f318d2d13018019dc4507d30158263bfc4fc55edd
eth3m_20260319T124800Z_review_original_v10_time_t042_c03,,,p003,calibration_p003_t042,42,3,review_original_v10_time,12,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-19T12:48:00+00:00,2026-03-19T02:51:00+00:00,2026-03-19T12:48:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260319T124800Z_review_original_v10_time_t042_c03.png,4d3cead03f9f3fb8231889ae4c53ea586164ecb3331356fa9cfbb2936fe1dc2c
eth3m_20260320T021200Z_review_tip_offset_-1_t096_c17,,,p004,calibration_p004_t096,96,17,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-20T02:12:00+00:00,2026-03-19T16:15:00+00:00,2026-03-20T02:12:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260320T021200Z_review_tip_offset_-1_t096_c17.png,6d5140de2c63aee550fd6503b286d214f3a3173d550a8e7b518c68bc522c7c56
eth3m_20260320T021800Z_review_tip_offset_+1_t096_c17,,,p004,calibration_p004_t096,96,17,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-20T02:18:00+00:00,2026-03-19T16:21:00+00:00,2026-03-20T02:18:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260320T021800Z_review_tip_offset_+1_t096_c17.png,47b83762f44aaffc37464d62c4e7ec316eba1fc678e350c3f6dfff7a2089c13a
eth3m_20260320T022100Z_review_tip_offset_+2_t096_c17,,,p004,calibration_p004_t096,96,17,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-20T02:21:00+00:00,2026-03-19T16:24:00+00:00,2026-03-20T02:21:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260320T022100Z_review_tip_offset_+2_t096_c17.png,727987977494e4804259eb37059940a6ef9ca6b91008e6d7f4b50a8985cc0a12
eth3m_20260320T022400Z_review_tip_offset_+3_t096_c17,,,p004,calibration_p004_t096,96,17,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-20T02:24:00+00:00,2026-03-19T16:27:00+00:00,2026-03-20T02:24:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260320T022400Z_review_tip_offset_+3_t096_c17.png,d0b554adde7559cc50176f93d0d7d23bf5684eac2e8b4106b27c307d1513c8b4
eth3m_20260320T023300Z_review_original_v10_time_t096_c17,,,p004,calibration_p004_t096,96,17,review_original_v10_time,6,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-20T02:33:00+00:00,2026-03-19T16:36:00+00:00,2026-03-20T02:33:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260320T023300Z_review_original_v10_time_t096_c17.png,7418c24a06ea2d08f57a22256a517433ec5611101a2ba44508da2ee2eec7c2a6
eth3m_20260321T231800Z_review_tip_offset_-1_t085_c07,,,p005,calibration_p005_t085,85,7,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-21T23:18:00+00:00,2026-03-21T13:21:00+00:00,2026-03-21T23:18:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260321T231800Z_review_tip_offset_-1_t085_c07.png,75770d01640d02ff79d402b1fd56589c72174662b4abb263b01d52c2f3ca597c
eth3m_20260321T232400Z_review_tip_offset_+1_t085_c07,,,p005,calibration_p005_t085,85,7,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-21T23:24:00+00:00,2026-03-21T13:27:00+00:00,2026-03-21T23:24:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260321T232400Z_review_tip_offset_+1_t085_c07.png,5982dd02f7f45b3e3f78a6c500d26b22bb650c4bdb660020174b8f3db62820ab
eth3m_20260321T232700Z_review_tip_offset_+2_t085_c07,,,p005,calibration_p005_t085,85,7,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-21T23:27:00+00:00,2026-03-21T13:30:00+00:00,2026-03-21T23:27:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260321T232700Z_review_tip_offset_+2_t085_c07.png,f4187805e1b8f759a8cae753d2fd566105523cf93ca9450335504a5b2339e474
eth3m_20260321T233000Z_review_tip_offset_+3_t085_c07,,,p005,calibration_p005_t085,85,7,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-21T23:30:00+00:00,2026-03-21T13:33:00+00:00,2026-03-21T23:30:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260321T233000Z_review_tip_offset_+3_t085_c07.png,67c54b895b851c8f4b57bc828d5e8815b6192d1fbcf4013a39e842d6bbd6a8c7
eth3m_20260322T000000Z_review_original_v10_time_t085_c07,,,p005,calibration_p005_t085,85,7,review_original_v10_time,13,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-22T00:00:00+00:00,2026-03-21T14:03:00+00:00,2026-03-22T00:00:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260322T000000Z_review_original_v10_time_t085_c07.png,bbffb4aabd8c5f56842ef0c7406efd2422353ea8e3f58097603729bd97982b64
eth3m_20260322T180000Z_review_tip_offset_-1_t141_c06,,,p006,calibration_p006_t141,141,6,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-22T18:00:00+00:00,2026-03-22T08:03:00+00:00,2026-03-22T18:00:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260322T180000Z_review_tip_offset_-1_t141_c06.png,438cd29d66191d58b3aa0348d4243a1e8c4aa593376a7cd3f1eeb2eb3c2124bd
eth3m_20260322T180600Z_review_tip_offset_+1_t141_c06,,,p006,calibration_p006_t141,141,6,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-22T18:06:00+00:00,2026-03-22T08:09:00+00:00,2026-03-22T18:06:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260322T180600Z_review_tip_offset_+1_t141_c06.png,4fc00700d2bbe1ec17fd5a6d4dc6e70437c4ed5c3e7e8e40761a82456ad5d055
eth3m_20260322T180900Z_review_tip_offset_+2_t141_c06,,,p006,calibration_p006_t141,141,6,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-22T18:09:00+00:00,2026-03-22T08:12:00+00:00,2026-03-22T18:09:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260322T180900Z_review_tip_offset_+2_t141_c06.png,db3b9c1848a756337280ce07db1f5c6c47f5f1b8dbc23cfdb1655173d6f674e8
eth3m_20260322T181200Z_review_tip_offset_+3_t141_c06,,,p006,calibration_p006_t141,141,6,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-22T18:12:00+00:00,2026-03-22T08:15:00+00:00,2026-03-22T18:12:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260322T181200Z_review_tip_offset_+3_t141_c06.png,c092d3d427e8bdde5b6b257a3ea3d376d3c73b05320aa726a2f8fdf476c11241
eth3m_20260322T183900Z_review_original_v10_time_t141_c06,,,p006,calibration_p006_t141,141,6,review_original_v10_time,12,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-22T18:39:00+00:00,2026-03-22T08:42:00+00:00,2026-03-22T18:39:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260322T183900Z_review_original_v10_time_t141_c06.png,143d6dcb4b50bf32fd616d941e479c87fc414fee3bc16c22a53be329ece1d1be
eth3m_20260323T061800Z_review_tip_offset_-1_t151_c13,,,p007,calibration_p007_t151,151,13,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-23T06:18:00+00:00,2026-03-22T20:21:00+00:00,2026-03-23T06:18:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260323T061800Z_review_tip_offset_-1_t151_c13.png,e40fc21c2ae5c3e37d398fdd4e16c83f4a2ff80ab146daff8984c3a3e40d6819
eth3m_20260323T062400Z_review_tip_offset_+1_t151_c13,,,p007,calibration_p007_t151,151,13,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-23T06:24:00+00:00,2026-03-22T20:27:00+00:00,2026-03-23T06:24:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260323T062400Z_review_tip_offset_+1_t151_c13.png,870e0ee85b8c335d7506cfd6deaea74f0f4f604df75d275e3bd89e743f65584b
eth3m_20260323T062700Z_review_tip_offset_+2_t151_c13,,,p007,calibration_p007_t151,151,13,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-23T06:27:00+00:00,2026-03-22T20:30:00+00:00,2026-03-23T06:27:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260323T062700Z_review_tip_offset_+2_t151_c13.png,bea14160f9450b36c36e2218d79b43745c816bd4821690ed8545c6fb3c10ef87
eth3m_20260323T063000Z_review_tip_offset_+3_t151_c13,,,p007,calibration_p007_t151,151,13,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-23T06:30:00+00:00,2026-03-22T20:33:00+00:00,2026-03-23T06:30:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260323T063000Z_review_tip_offset_+3_t151_c13.png,ef9cfd42a6118b3a6b2ee57709ee5ec9b37c66546b875b81d6ef8e1c409bb99a
eth3m_20260323T063600Z_review_original_v10_time_t151_c13,,,p007,calibration_p007_t151,151,13,review_original_v10_time,5,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-23T06:36:00+00:00,2026-03-22T20:39:00+00:00,2026-03-23T06:36:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260323T063600Z_review_original_v10_time_t151_c13.png,ca008ff99143edce1a6f4774bac1375b89e65cb749cbdbc5d269e184ef10327a
eth3m_20260325T143900Z_review_tip_offset_-1_t127_c12,,,p008,calibration_p008_t127,127,12,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-25T14:39:00+00:00,2026-03-25T04:42:00+00:00,2026-03-25T14:39:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260325T143900Z_review_tip_offset_-1_t127_c12.png,9ba7f8a87eaf487ebdda2db8ff44eaffe78bef21c953e5adef9b3840a99f7e7e
eth3m_20260325T144500Z_review_tip_offset_+1_t127_c12,,,p008,calibration_p008_t127,127,12,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-25T14:45:00+00:00,2026-03-25T04:48:00+00:00,2026-03-25T14:45:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260325T144500Z_review_tip_offset_+1_t127_c12.png,090bca0575a1d4487922f4f5b9d9e34faaf0a49278c0e7bc49398d3859756017
eth3m_20260325T144800Z_review_tip_offset_+2_t127_c12,,,p008,calibration_p008_t127,127,12,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-25T14:48:00+00:00,2026-03-25T04:51:00+00:00,2026-03-25T14:48:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260325T144800Z_review_tip_offset_+2_t127_c12.png,5e5f5b1574fbae5eb96e1680cd028c654710c70831f41fbb6262b2cdbf7b4d68
eth3m_20260325T145100Z_review_tip_offset_+3_t127_c12,,,p008,calibration_p008_t127,127,12,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-25T14:51:00+00:00,2026-03-25T04:54:00+00:00,2026-03-25T14:51:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260325T145100Z_review_tip_offset_+3_t127_c12.png,13048759e8675743dd13168adc545b52e68793d5734a96c3dd0ebd1d85af6d87
eth3m_20260325T151800Z_review_original_v10_time_t127_c12,,,p008,calibration_p008_t127,127,12,review_original_v10_time,12,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-25T15:18:00+00:00,2026-03-25T05:21:00+00:00,2026-03-25T15:18:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260325T151800Z_review_original_v10_time_t127_c12.png,0d0d41f96c7a33e1b9bde85d9e5f281d7b2e33e89daa25f9aba5974da62fb6f7
eth3m_20260327T101200Z_review_tip_offset_-1_t171_c08,,,p009,calibration_p009_t171,171,8,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-27T10:12:00+00:00,2026-03-27T00:15:00+00:00,2026-03-27T10:12:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260327T101200Z_review_tip_offset_-1_t171_c08.png,27fd8fcd807bd6bb33feb181540d3dfb78113921ab85c5889a814194f82776bb
eth3m_20260327T101800Z_review_tip_offset_+1_t171_c08,,,p009,calibration_p009_t171,171,8,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-27T10:18:00+00:00,2026-03-27T00:21:00+00:00,2026-03-27T10:18:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260327T101800Z_review_tip_offset_+1_t171_c08.png,f5d131fddc35b596422c3b5fe0c1e862eac4d24d1c686305113623a4de176944
eth3m_20260327T102100Z_review_tip_offset_+2_t171_c08,,,p009,calibration_p009_t171,171,8,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-27T10:21:00+00:00,2026-03-27T00:24:00+00:00,2026-03-27T10:21:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260327T102100Z_review_tip_offset_+2_t171_c08.png,1a4ad226327eaf21f0bb942e0a136d0491d0581366f929a29956b6f350de4360
eth3m_20260327T102400Z_review_tip_offset_+3_t171_c08,,,p009,calibration_p009_t171,171,8,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-27T10:24:00+00:00,2026-03-27T00:27:00+00:00,2026-03-27T10:24:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260327T102400Z_review_tip_offset_+3_t171_c08.png,6cf75ee044d4a92fbec185834aea9be59503d76d0d3c07e5bd848335f5a4c80e
eth3m_20260327T104500Z_review_original_v10_time_t171_c08,,,p009,calibration_p009_t171,171,8,review_original_v10_time,10,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-27T10:45:00+00:00,2026-03-27T00:48:00+00:00,2026-03-27T10:45:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260327T104500Z_review_original_v10_time_t171_c08.png,e6b5f4482f77ab73513d5c12b5c740155403f91d767a750d64654a209bf44e00
eth3m_20260329T123300Z_review_tip_offset_-1_t168_c20,,,p010,calibration_p010_t168,168,20,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T12:33:00+00:00,2026-03-29T02:36:00+00:00,2026-03-29T12:33:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260329T123300Z_review_tip_offset_-1_t168_c20.png,f804c0e2b1cfe3a2178377edd56d2ddf162248460b5bf66e19f6ca622e350925
eth3m_20260329T123900Z_review_tip_offset_+1_t168_c20,,,p010,calibration_p010_t168,168,20,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T12:39:00+00:00,2026-03-29T02:42:00+00:00,2026-03-29T12:39:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260329T123900Z_review_tip_offset_+1_t168_c20.png,3082af2a4d3a90ffd13fcdeb6edffd8dc0ec57cc61351246c8adde5cf074bb08
eth3m_20260329T124200Z_review_tip_offset_+2_t168_c20,,,p010,calibration_p010_t168,168,20,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T12:42:00+00:00,2026-03-29T02:45:00+00:00,2026-03-29T12:42:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260329T124200Z_review_tip_offset_+2_t168_c20.png,51b7cb0e36f0336c58da52acf078890c8731c38077bf1799b57fb32d745a4e98
eth3m_20260329T124500Z_review_tip_offset_+3_t168_c20,,,p010,calibration_p010_t168,168,20,review_tip_offset_+3,3,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T12:45:00+00:00,2026-03-29T02:48:00+00:00,2026-03-29T12:45:00+00:00,weak_or_review/review_tip_offset_+3/eth3m_20260329T124500Z_review_tip_offset_+3_t168_c20.png,4387022669ba0c7fd53a27d5bad069e4903008d14e3cf4441e1eb340b62d444a
eth3m_20260329T131200Z_review_original_v10_time_t168_c20,,,p010,calibration_p010_t168,168,20,review_original_v10_time,12,original_v10_time_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_original_v10_not_current_T_confirmation,2026-03-29T13:12:00+00:00,2026-03-29T03:15:00+00:00,2026-03-29T13:12:00+00:00,weak_or_review/review_original_v10_time/eth3m_20260329T131200Z_review_original_v10_time_t168_c20.png,c0a69dad02698b6ce83f47bdc9bed6d2d4f1cb06180c57f2a81be5e0402858e5
eth3m_20260329T215700Z_review_tip_offset_-1_t055_c16,,,p011,calibration_p011_t055,55,16,review_tip_offset_-1,-1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T21:57:00+00:00,2026-03-29T12:00:00+00:00,2026-03-29T21:57:00+00:00,weak_or_review/review_tip_offset_-1/eth3m_20260329T215700Z_review_tip_offset_-1_t055_c16.png,7869598976ed8c513ca855d3ddded2b294833bdb351214d136a0cf0ca1e6e534
eth3m_20260329T220300Z_review_tip_offset_+1_t055_c16,,,p011,calibration_p011_t055,55,16,review_tip_offset_+1,1,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T22:03:00+00:00,2026-03-29T12:06:00+00:00,2026-03-29T22:03:00+00:00,weak_or_review/review_tip_offset_+1/eth3m_20260329T220300Z_review_tip_offset_+1_t055_c16.png,dc7dccc9517351ef105f61f24058b0b276c2181d54ab8df23da1fd391872b26a
eth3m_20260329T220600Z_review_tip_offset_+2_t055_c16,,,p011,calibration_p011_t055,55,16,review_tip_offset_+2,2,tip_geometry_offset_is_not_owner_confirmed_current_tip_label,withheld_from_train_val_geometry_offset_not_lifetime,2026-03-29T22:06:00+00:00,2026-03-29T12:09:00+00:00,2026-03-29T22:06:00+00:00,weak_or_review/review_tip_offset_+2/eth3m_20260329T220600Z_review_tip_offset_+2_t055_c16.png,1d4cb084ba06b97034372ffbcfebecbf20fbe70d3e9d82b4c1f12d12fc7fff1d
