编号,币种,周期,入场时间UTC,退出根或末根开盘UTC,未平仓数据末端收盘UTC,入场价,初始止损,退出价,净R,路径分类,为何退出,当时与后续事实,待验证不足,交易唯一键
T011,OPUSDT,15m,2024-09-15 01:00:00+00:00,2024-09-15 03:45:00+00:00,,1.5685,1.5578200000000002,1.5578200000000002,-1.2937265917603011,到过1R后回吐,持仓第12根K，最低价1.5567触及当时已生效保护价1.55782；按初始止损在1.55782退出，扣费后净-1.29R。,距V9 134根，较父V9独立模拟入场价+1.76%；初始风险0.68%（2.00个信号ATR），往返成本0.294R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.13倍。 原账本最大浮盈1.87R；5分钟审计得到实际止损前浮盈范围1.87–1.87R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.69R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.21R，最低到-3.02R。,等待超过48根，需检验突破时原启动结构是否已失效；已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破来源的两根确认期价格未上涨，需检验下降线下移与有效价格推进的区别,binance_um:OPUSDT:15m:box_any:1983
T012,API3USDT,15m,2024-09-16 11:00:00+00:00,2024-09-16 14:30:00+00:00,,1.5047,1.4624,1.4624,-1.0711442080378268,推进不足后止损,持仓第15根K，最低价1.4621触及当时已生效保护价1.4624；按初始止损在1.4624退出，扣费后净-1.07R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.81%（2.62个信号ATR），往返成本0.071R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.20倍。 原账本最大浮盈0.53R；5分钟审计得到实际止损前浮盈范围0.53–0.53R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.23R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.11R，最低到-1.12R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:API3USDT:15m:box_any:2119
T013,API3USDT,15m,2024-09-17 11:15:00+00:00,2024-09-17 23:00:00+00:00,,1.5321,1.5024000000000002,1.5269,-0.2782558922558911,收盘激活追踪后仍亏,持仓第48根K，最低价1.5254触及当时已生效保护价1.5269；按追踪止损在1.5269退出，扣费后净-0.28R。,距V9 16根，较父V9独立模拟入场价+0.39%；初始风险1.94%（2.01个信号ATR），往返成本0.103R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量1.64倍。 原账本最大浮盈2.36R；5分钟审计得到实际止损前浮盈范围2.36–2.36R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价-0.18R，激活不保证保本。 退出下一根起48根内，最高回到原入场+1.00R，最低到-1.04R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门；4ATR追踪在本单仍低于成本线；统一提保本可能损失其他赢家，需另做完整对照；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:API3USDT:15m:box_any:2216
T014,FILUSDT,15m,2024-09-18 04:30:00+00:00,2024-09-18 04:45:00+00:00,,3.497,3.4686000000000003,3.4686000000000003,-1.246267605633805,前三根止损,持仓第2根K，最低价3.467触及当时已生效保护价3.4686；按初始止损在3.4686退出，扣费后净-1.25R。,距V9 2根，较父V9独立模拟入场价+0.11%；初始风险0.81%（2.08个信号ATR），往返成本0.246R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.62倍。 原账本最大浮盈0.00R；5分钟审计得到实际止损前浮盈范围0.00–0.00R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.49R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.07R，最低到-4.82R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:FILUSDT:15m:box_any:2285
T015,UNIUSDT,15m,2024-09-21 19:30:00+00:00,2024-09-22 00:30:00+00:00,,6.876,6.823,6.823,-1.259471698113207,到过1R后回吐,持仓第21根K，最低价6.821触及当时已生效保护价6.823；按初始止损在6.823退出，扣费后净-1.26R。,距V9 22根，较父V9独立模拟入场价+0.39%；初始风险0.77%（2.02个信号ATR），往返成本0.259R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.89倍。 原账本最大浮盈1.02R；5分钟审计得到实际止损前浮盈范围1.02–1.02R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.55R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.25R，最低到-5.06R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:UNIUSDT:15m:box_any:2633
T016,1000PEPEUSDT,15m,2024-09-24 08:15:00+00:00,2024-09-25 06:15:00+00:00,,0.0081237,0.0080185999999999,0.0084470999999999,2.922479543292094,盈利保护退出,持仓第89根K，最低价0.0084403触及当时已生效保护价0.0084471；按追踪止损在0.0084471退出，扣费后净+2.92R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险1.29%（2.47个信号ATR），往返成本0.155R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量4.15倍。 原账本最大浮盈6.36R；5分钟审计得到实际止损前浮盈范围6.36–6.36R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+3.08R，激活不保证保本。 退出下一根起48根内，最高回到原入场+4.67R，最低到+2.22R。,作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:1000PEPEUSDT:15m:box_any:2876
T017,NEARUSDT,15m,2024-10-06 01:45:00+00:00,2024-10-06 04:30:00+00:00,,4.798,4.735,4.735,-1.1523174603174633,推进不足后止损,持仓第12根K，最低价4.714触及当时已生效保护价4.735；按初始止损在4.735退出，扣费后净-1.15R。,距V9 11根，较父V9独立模拟入场价+0.46%；初始风险1.31%（2.34个信号ATR），往返成本0.152R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.26倍。 原账本最大浮盈0.19R；5分钟审计得到实际止损前浮盈范围0.19–0.19R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.17R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+2.24R，最低到-1.30R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:NEARUSDT:15m:box_any:4002
T018,ENAUSDT,15m,2024-10-11 15:30:00+00:00,2024-10-14 21:15:00+00:00,,0.3112,0.28358,0.39934,3.168631426502538,盈利保护退出,持仓第312根K，最低价0.3989触及当时已生效保护价0.39934；按追踪止损在0.39934退出，扣费后净+3.17R。,距V9 12根，较父V9独立模拟入场价+10.39%；初始风险8.88%（5.45个信号ATR），往返成本0.023R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量7.08倍。 原账本最大浮盈4.49R；5分钟审计得到实际止损前浮盈范围4.49–4.49R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+3.19R，激活不保证保本。 退出下一根起48根内，最高回到原入场+5.50R，最低到+3.09R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:ENAUSDT:15m:box_any:4537
T019,JUPUSDT,15m,2024-10-14 05:15:00+00:00,2024-10-15 04:00:00+00:00,,0.8105,0.7966000000000001,0.8634000000000001,3.689136690647514,盈利保护退出,持仓第92根K，最低价0.8632触及当时已生效保护价0.8634；按追踪止损在0.8634退出，扣费后净+3.69R。,距V9 7根，较父V9独立模拟入场价+0.37%；初始风险1.71%（2.01个信号ATR），往返成本0.117R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.83倍。 原账本最大浮盈6.14R；5分钟审计得到实际止损前浮盈范围6.14–6.14R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+3.81R，激活不保证保本。 退出下一根起48根内，最高回到原入场+9.10R，最低到+2.01R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:JUPUSDT:15m:box_any:4784
T020,ZECUSDT,15m,2024-10-19 20:45:00+00:00,2024-10-20 04:00:00+00:00,,36.95,36.3,36.3,-1.1136923076923078,推进不足后止损,持仓第30根K，最低价36触及当时已生效保护价36.3；按初始止损在36.3退出，扣费后净-1.11R。,距V9 23根，较父V9独立模拟入场价+2.52%；初始风险1.76%（3.42个信号ATR），往返成本0.114R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量0.62倍。 原账本最大浮盈0.78R；5分钟审计得到实际止损前浮盈范围0.78–0.78R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.52R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.29R，最低到-1.68R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:ZECUSDT:15m:box_any:5326
T021,AAVEUSDT,15m,2024-10-20 14:00:00+00:00,2024-10-20 16:45:00+00:00,,158.88,157.70000000000002,157.70000000000002,-1.2692881355932273,到过1R后回吐,持仓第12根K，最低价157.5触及当时已生效保护价157.7；按初始止损在157.7退出，扣费后净-1.27R。,距V9 173根，较父V9独立模拟入场价+1.20%；初始风险0.74%（2.32个信号ATR），往返成本0.269R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.52倍。 原账本最大浮盈1.41R；5分钟审计得到实际止损前浮盈范围1.41–1.41R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.16R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.97R，最低到-2.63R。,等待超过48根，需检验突破时原启动结构是否已失效；已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:AAVEUSDT:15m:box_any:5395
T022,ETHUSDT,15m,2024-10-28 10:15:00+00:00,2024-10-28 15:45:00+00:00,,2536.43,2502.2200000000003,2502.2200000000003,-1.1482858813212562,推进不足后止损,持仓第23根K，最低价2497.5触及当时已生效保护价2502.22；按初始止损在2502.22退出，扣费后净-1.15R。,距V9 8根，较父V9独立模拟入场价+0.76%；初始风险1.35%（3.42个信号ATR），往返成本0.148R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.02倍。 原账本最大浮盈0.14R；5分钟审计得到实际止损前浮盈范围0.14–0.14R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.04R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+2.79R，最低到-1.50R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:ETHUSDT:15m:box_any:6148
T023,UNIUSDT,15m,2024-10-28 13:15:00+00:00,2024-10-28 14:00:00+00:00,,7.57,7.458,7.458,-1.135178571428574,推进不足后止损,持仓第4根K，最低价7.455触及当时已生效保护价7.458；按初始止损在7.458退出，扣费后净-1.14R。,距V9 21根，较父V9独立模拟入场价+0.76%；初始风险1.48%（2.39个信号ATR），往返成本0.135R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.67倍。 原账本最大浮盈0.16R；5分钟审计得到实际止损前浮盈范围0.16–0.16R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘-0.22R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+3.57R，最低到-1.64R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:UNIUSDT:15m:box_any:6160
T024,SOLUSDT,15m,2024-10-28 22:30:00+00:00,2024-10-29 20:00:00+00:00,,178.86,176.03,178.14,-0.380819787985874,反向确认亏损退出,上一根出现原始反向信号，下一根开盘178.14退出；这笔不是价格触及止损退出，扣费后净-0.38R。,距V9 1根，较父V9独立模拟入场价-0.01%；初始风险1.58%（3.02个信号ATR），往返成本0.126R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.97倍。 截至退出前/数据末端，原账本最大浮盈1.58R。 退出前最高收盘1.25R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.89R，最低到-0.90R。,当前事实不足以提出特定改法；先保留原规则作为对照。,binance_um:SOLUSDT:15m:box_any:6197
T025,SOLUSDT,15m,2024-11-04 12:30:00+00:00,2024-11-04 14:30:00+00:00,,164.42,162.68,162.68,-1.1889885057471312,推进不足后止损,持仓第9根K，最低价162.271触及当时已生效保护价162.68；按初始止损在162.68退出，扣费后净-1.19R。,距V9 2根，较父V9独立模拟入场价+0.27%；初始风险1.06%（1.99个信号ATR），往返成本0.189R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.05倍。 原账本最大浮盈0.28R；5分钟审计得到实际止损前浮盈范围0.28–0.28R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.03R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场-0.55R，最低到-5.40R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:SOLUSDT:15m:box_any:6829
T026,APTUSDT,15m,2024-11-05 10:30:00+00:00,2024-11-05 19:45:00+00:00,,8.2229,8.132200000000001,8.3427,1.1395170893054458,盈利保护退出,持仓第38根K，最低价8.3041触及当时已生效保护价8.3427；按追踪止损在8.3427退出，扣费后净+1.14R。,距V9 5根，较父V9独立模拟入场价-0.32%；初始风险1.10%（1.98个信号ATR），往返成本0.181R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.03倍。 原账本最大浮盈4.58R；5分钟审计得到实际止损前浮盈范围4.58–4.58R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+1.32R，激活不保证保本。 退出下一根起48根内，最高回到原入场+13.78R，最低到+0.98R。,作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:APTUSDT:15m:box_any:6917
T027,NEARUSDT,15m,2024-11-05 12:00:00+00:00,2024-11-05 19:15:00+00:00,,3.74,3.691,3.806,1.194285714285711,盈利保护退出,持仓第30根K，最低价3.806触及当时已生效保护价3.806；按追踪止损在3.806退出，扣费后净+1.19R。,距V9 15根，较父V9独立模拟入场价+1.05%；初始风险1.31%（2.46个信号ATR），往返成本0.153R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.11倍。 原账本最大浮盈3.98R；5分钟审计得到实际止损前浮盈范围3.98–3.98R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+1.35R，激活不保证保本。 退出下一根起48根内，最高回到原入场+10.45R，最低到+0.02R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:NEARUSDT:15m:box_any:6923
T028,NEARUSDT,15m,2024-11-08 14:15:00+00:00,2024-11-08 14:45:00+00:00,,4.35,4.2700000000000005,4.2700000000000005,-1.1087499999999992,前三根止损,持仓第3根K，最低价4.269触及当时已生效保护价4.27；按初始止损在4.27退出，扣费后净-1.11R。,距V9 5根，较父V9独立模拟入场价+0.83%；初始风险1.84%（2.34个信号ATR），往返成本0.109R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.87倍。 原账本最大浮盈0.56R；5分钟审计得到实际止损前浮盈范围0.56–0.56R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.44R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+0.10R，最低到-2.35R。,已比V9入场更贵，需评估确认收益能否覆盖追价代价,binance_um:NEARUSDT:15m:box_any:7220
T029,APTUSDT,15m,2024-11-09 07:15:00+00:00,2024-11-09 14:30:00+00:00,,9.8352,9.6747,9.6747,-1.1225570093457935,到过1R后回吐,持仓第30根K，最低价9.6434触及当时已生效保护价9.6747；按初始止损在9.6747退出，扣费后净-1.12R。,距V9 4根，较父V9独立模拟入场价-1.08%；初始风险1.63%（1.99个信号ATR），往返成本0.123R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量1.18倍。 原账本最大浮盈1.36R；5分钟审计得到实际止损前浮盈范围1.36–1.36R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘1.16R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+4.76R，最低到-1.39R。,退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:APTUSDT:15m:box_any:7288
T030,WIFUSDT,15m,2024-11-10 00:15:00+00:00,2024-11-10 21:00:00+00:00,,2.4792,2.4281,2.5994,2.2552172211350356,盈利保护退出,持仓第84根K，最低价2.5409触及当时已生效保护价2.5994；按追踪止损在2.5994退出，扣费后净+2.26R。,距V9 64根，较父V9独立模拟入场价+3.56%；初始风险2.06%（2.00个信号ATR），往返成本0.097R。 入场信号收盘在六均线上方，IMACD未同时满足向上和增强，相对成交量1.55倍。 原账本最大浮盈7.97R；5分钟审计得到实际止损前浮盈范围7.97–7.97R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+2.35R，激活不保证保本。 退出下一根起48根内，最高回到原入场+14.54R，最低到+2.36R。,等待超过48根，需检验突破时原启动结构是否已失效；已比V9入场更贵，需评估确认收益能否覆盖追价代价；突破当时支撑或动能不完整，但此前单加六均线门未改善全池，不能直接套门；作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:WIFUSDT:15m:box_any:7356
T031,APTUSDT,15m,2024-11-16 02:00:00+00:00,2024-11-17 02:00:00+00:00,,12.194,11.7107,11.7107,-1.0504614111318027,到过1R后回吐,持仓第97根K，最低价11.5901触及当时已生效保护价11.7107；按初始止损在11.7107退出，扣费后净-1.05R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险3.96%（4.08个信号ATR），往返成本0.050R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量3.04倍。 原账本最大浮盈1.17R；5分钟审计得到实际止损前浮盈范围1.17–1.17R（若上下界不同，触及止损的5分钟内先后未知）。 退出前最高收盘0.92R，未收盘达到2R，原追踪未激活。 退出下一根起48根内，最高回到原入场+1.09R，最低到-1.31R。,退出后48根内曾回到+1R；属事后重启机会，不能证明放宽原止损会赚钱,binance_um:APTUSDT:15m:box_any:7939
T032,ZENUSDT,15m,2024-11-16 11:00:00+00:00,2024-11-17 01:30:00+00:00,,9.091,8.855,9.422,1.325500000000016,盈利保护退出,持仓第59根K，最低价9.327触及当时已生效保护价9.422；按追踪止损在9.422退出，扣费后净+1.33R。,距V9 0根，较父V9独立模拟入场价+0.00%；初始风险2.60%（3.69个信号ATR），往返成本0.077R。 入场信号收盘在六均线上方，IMACD向上且增强，相对成交量2.83倍。 原账本最大浮盈2.75R；5分钟审计得到实际止损前浮盈范围2.75–2.75R（若上下界不同，触及止损的5分钟内先后未知）。 已收盘触及2R并激活追踪；退出时保护在入场价+1.40R，激活不保证保本。 退出下一根起48根内，最高回到原入场+2.24R，最低到-0.63R。,作为盈利对照保留：任何更早止盈/更严过滤都需计算会损失多少这类赢家,binance_um:ZENUSDT:15m:box_any:7975
