tip_i,signal_i,box_start_i,box_end_i,conf,price_low,price_high,nearby_raw,max_conf,first_signal_i,last_signal_i,accepted_fires,raw_fires,future_return,max_drop,max_rebound,signal_time,month,image_rel
13299,13299,13286,13299,0.7264797687530518,2068.5703639619333,2132.6613687229906,1,0.7264797687530518,13299,13299,1,1,0.00448782568238193,0.00024716966501248105,0.007482940446650099,2026-05-22T19:48:00+00:00,2026-05,images/event_0013_20260522T1948Z.jpg
13539,13539,13527,13539,0.38204097747802734,2048.3725238181028,2070.5365377858498,1,0.38204097747802734,13539,13539,1,1,0.01007599267923931,-1.9893371528523218e-05,0.010971194398026629,2026-05-23T07:48:00+00:00,2026-05,images/event_0014_20260523T0748Z.jpg
15132,15132,15119,15132,0.35033735632896423,2104.1546235270353,2130.1480817660813,1,0.35033735632896423,15132,15132,1,1,-0.010902364959884725,0.020837007975363586,0.0006435589285458398,2026-05-26T15:27:00+00:00,2026-05,images/event_0015_20260526T1527Z.jpg
15394,15394,15382,15394,0.6257335543632507,2065.0511518637168,2076.0403470506217,1,0.6257335543632507,15394,15394,1,1,0.00945657447840853,0.00010189228529844385,0.009631246967491514,2026-05-27T04:33:00+00:00,2026-05,images/event_0016_20260527T0433Z.jpg
15743,15743,15730,15743,0.7985119223594666,2032.2034091381067,2068.0482785833437,1,0.7985119223594666,15743,15743,1,1,0.0017089204660512003,0.0036894901391337775,0.004805721426207832,2026-05-27T22:00:00+00:00,2026-05,images/event_0017_20260527T2200Z.jpg
15852,15852,15841,15852,0.6530472040176392,2001.1112337087702,2035.0130217316246,1,0.6530472040176392,15852,15852,1,1,-0.005528196821915632,0.011036272818273796,0.002580495877745781,2026-05-28T03:27:00+00:00,2026-05,images/event_0018_20260528T0327Z.jpg
16551,16551,16538,16551,0.6781861782073975,1988.6439287451547,2011.531033242905,1,0.6781861782073975,16551,16551,1,1,0.02915437163992074,0.0006669630947087057,0.033565423016290064,2026-05-29T14:24:00+00:00,2026-05,images/event_0019_20260529T1424Z.jpg
16834,16834,16822,16834,0.715866208076477,2010.0237595049837,2020.3194491025924,1,0.715866208076477,16834,16834,1,1,0.0057064688291004195,0.001103350491015953,0.008487311469353331,2026-05-30T04:33:00+00:00,2026-05,images/event_0020_20260530T0433Z.jpg
17511,17511,17499,17511,0.6682482361793518,2015.5800543520102,2024.1692632658498,1,0.6682482361793518,17511,17511,1,1,-0.004312917860553989,0.007138451130213275,0.0019947866921361523,2026-05-31T14:24:00+00:00,2026-05,images/event_0021_20260531T1424Z.jpg
18471,18471,18459,18471,0.8499554991722107,1961.5276233583513,1983.1572217372814,1,0.8499554991722107,18471,18471,1,1,-0.008282671251563567,0.028111664204343634,0.0022958802847714566,2026-06-02T14:24:00+00:00,2026-06,images/event_0022_20260602T1424Z.jpg
19169,19169,19155,19169,0.35267454385757446,1780.9552464125686,1832.5518090960834,1,0.35267454385757446,19169,19169,1,1,0.020146159515276985,0.035200927139650395,0.022081451018559628,2026-06-04T01:18:00+00:00,2026-06,images/event_0023_20260604T0118Z.jpg
19584,19584,19573,19584,0.38948363065719604,1755.2035868107655,1778.0150532913551,1,0.38948363065719604,19584,19584,1,1,-0.004472338076894733,0.006924727022367461,0.010754095375739015,2026-06-04T22:03:00+00:00,2026-06,images/event_0024_20260604T2203Z.jpg
19737,19737,19727,19737,0.6755759716033936,1716.8286866678307,1753.4961138430526,1,0.6755759716033936,19737,19737,1,1,-0.01925114800423866,0.046238078417520256,0.0025903685387966835,2026-06-05T05:42:00+00:00,2026-06,images/event_0025_20260605T0542Z.jpg
21831,21831,21817,21831,0.8073593378067017,1655.0404280581092,1679.3334396885673,1,0.8073593378067017,21831,21831,1,1,-0.00048051189723130605,0.019098827307673538,0.005772225195854297,2026-06-09T14:24:00+00:00,2026-06,images/event_0026_20260609T1424Z.jpg
22071,22071,22057,22071,0.3648304343223572,1631.2738098494788,1650.0804057133337,1,0.3648304343223572,22071,22071,1,1,-0.0017469397797872377,0.0064403026388633045,0.006268069139447663,2026-06-10T02:24:00+00:00,2026-06,images/event_0027_20260610T0224Z.jpg
22377,22377,22365,22377,0.7610999345779419,1630.6376876183183,1649.2711892232012,1,0.7610999345779419,22377,22377,1,1,0.0031474238551323364,0.001170275014628408,0.008173447075852325,2026-06-10T17:42:00+00:00,2026-06,images/event_0028_20260610T1742Z.jpg
22464,22464,22451,22464,0.7457700371742249,1610.7805751387,1639.2995541612358,1,0.7457700371742249,22464,22464,1,1,0.016009553486462824,0.002805092704893042,0.016550668930644052,2026-06-10T22:03:00+00:00,2026-06,images/event_0029_20260610T2203Z.jpg
24995,24995,24983,24995,0.6212868690490723,1767.1277995396665,1793.6306232185636,1,0.6212868690490723,24995,24995,1,1,0.005129309611929589,0.004063773471550625,0.005985139171489129,2026-06-16T04:36:00+00:00,2026-06,images/event_0030_20260616T0436Z.jpg
25192,25192,25181,25192,0.8192639946937561,1787.8065832812524,1809.1011075088309,1,0.8192639946937561,25192,25192,1,1,0.00532365327943829,0.004973635778563135,0.0092190093375637,2026-06-16T14:27:00+00:00,2026-06,images/event_0031_20260616T1427Z.jpg
26174,26174,26161,26174,0.8839764595031738,1724.8330606736442,1747.9856696838021,1,0.8839764595031738,26174,26174,1,1,-0.020250055296213043,0.027729595697372433,0.00011641308017362739,2026-06-18T15:33:00+00:00,2026-06,images/event_0032_20260618T1533Z.jpg
28072,28072,28058,28072,0.8186090588569641,1748.6801085513234,1775.550652097421,1,0.8186090588569641,28072,28072,1,1,-0.011788110425181353,0.012489240784125832,0.002479607366999037,2026-06-22T14:27:00+00:00,2026-06,images/event_0033_20260622T1427Z.jpg
29010,29010,29002,29010,0.5707674622535706,1660.552892179919,1679.0879518329598,1,0.5707674622535706,29010,29010,1,1,-0.006449846359791955,0.01714077093918287,0.012163436672852912,2026-06-24T13:21:00+00:00,2026-06,images/event_0034_20260624T1321Z.jpg
29752,29752,29737,29752,0.5349384546279907,1538.7242948367875,1574.8459865451948,1,0.5349384546279907,29752,29752,1,1,0.012820846566355959,0.016634560316551195,0.017422033633571088,2026-06-26T02:27:00+00:00,2026-06,images/event_0035_20260626T0227Z.jpg
30996,30996,30983,30996,0.5241421461105347,1575.165153256297,1582.083288416744,1,0.5241421461105347,30996,30996,1,1,-0.001719318131164882,0.005024229649959633,0.004081788600283964,2026-06-28T16:39:00+00:00,2026-06,images/event_0036_20260628T1639Z.jpg
31869,31869,31855,31869,0.7922072410583496,1573.7557761587755,1590.5745747211017,1,0.7922072410583496,31869,31869,1,1,-0.0019106211429336106,0.013463510320538608,0.004731971697331971,2026-06-30T12:18:00+00:00,2026-06,images/event_0037_20260630T1218Z.jpg
32567,32567,32555,32567,0.6630593538284302,1615.2405648079982,1632.571801686065,1,0.6630593538284302,32567,32567,1,1,0.0012941817551332946,0.011517598394967021,0.006031258514353599,2026-07-01T23:12:00+00:00,2026-07,images/event_0038_20260701T2312Z.jpg
32589,32589,32576,32589,0.3716302514076233,1604.0718756418237,1627.266901197326,1,0.3716302514076233,32589,32589,1,1,0.010395023366964296,0.003974567757957015,0.013708203083565795,2026-07-02T00:18:00+00:00,2026-07,images/event_0039_20260702T0018Z.jpg
34749,34749,34741,34749,0.3432419002056122,1754.8517285962287,1773.477262703181,1,0.3432419002056122,34749,34749,1,1,0.005876804344719044,0.012628269258253444,0.009912819779905657,2026-07-06T12:18:00+00:00,2026-07,images/event_0040_20260706T1218Z.jpg
36713,36713,36697,36713,0.496368408203125,1789.4517186417957,1803.2458695958658,1,0.496368408203125,36713,36713,1,1,0.006041905532699454,0.0033609855893527163,0.011274476742878958,2026-07-10T14:30:00+00:00,2026-07,images/event_0041_20260710T1430Z.jpg
37826,37826,37813,37826,0.7972025871276855,1807.5200615638114,1822.7872291947676,1,0.7972025871276855,37826,37826,1,1,0.009485613486212463,0.00353907684456356,0.02420218224581605,2026-07-12T22:09:00+00:00,2026-07,images/event_0042_20260712T2209Z.jpg
37935,37935,37922,37935,0.3403783142566681,1786.905642887426,1822.6405303941913,1,0.3403783142566681,37935,37935,1,1,-0.0019166994547804572,0.003411837445899568,0.0038783654656848743,2026-07-13T03:36:00+00:00,2026-07,images/event_0043_20260713T0336Z.jpg
39899,39899,39887,39899,0.4723607897758484,1833.2173846766752,1860.8145223447336,1,0.4723607897758484,39899,39899,1,1,0.0016315267915314458,0.003892669626774481,0.005108102337244125,2026-07-17T05:48:00+00:00,2026-07,images/event_0044_20260717T0548Z.jpg
44831,44831,44822,44831,0.4893534183502197,1955.1494615777528,1967.6038207492193,1,0.4893534183502197,44831,44831,1,1,-0.009640706574469027,0.015323487286895698,0.01513868141006891,2026-07-27T12:24:00+00:00,2026-07,images/event_0045_20260727T1224Z.jpg
44874,44874,44867,44874,0.7654919028282166,1947.9030417224426,1965.1515560687153,1,0.7654919028282166,44874,44874,1,1,0.005966272192410971,0.007446197471708049,0.006959788463827277,2026-07-27T14:33:00+00:00,2026-07,images/event_0046_20260727T1433Z.jpg
45333,45333,45322,45333,0.3627799153327942,1875.5780686743199,1890.341779764811,1,0.3627799153327942,45333,45333,1,1,0.021225472698309433,0.011315989962652928,0.02505074614142866,2026-07-28T13:30:00+00:00,2026-07,images/event_0047_20260728T1330Z.jpg
